"Disp (mm) " "Load (kN)" "d (raw)" "f (raw)"
5.2333 10.9544 5.2333 11.0707
5.2500 10.9933 5.2500 11.1096
5.2666 11.0313 5.2666 11.1476
5.2834 11.0742 5.2834 11.1905
5.3000 11.1228 5.3000 11.2391
5.3167 11.1743 5.3167 11.2906
5.3334 11.2283 5.3334 11.3447
5.3500 11.2817 5.3500 11.3980
5.3666 11.3341 5.3666 11.4504
5.3834 11.3884 5.3834 11.5048
5.4000 11.4415 5.4000 11.5579
5.4167 11.4953 5.4167 11.6116
5.4334 11.5513 5.4334 11.6676
5.4501 11.6057 5.4501 11.7221
5.4667 11.6616 5.4667 11.7779
5.4834 11.7172 5.4834 11.8335
5.5000 11.7721 5.5000 11.8884
5.5167 11.8309 5.5167 11.9473
5.5333 11.8879 5.5333 12.0042
5.5500 11.9472 5.5500 12.0636
5.5667 12.0052 5.5667 12.1215
5.5834 12.0619 5.5834 12.1783
5.6000 12.1203 5.6000 12.2366
5.6167 12.1807 5.6167 12.2971
5.6333 12.2403 5.6333 12.3566
5.6500 12.3020 5.6500 12.4184
5.6666 12.3615 5.6666 12.4779
5.6834 12.4233 5.6834 12.5396
5.7000 12.4865 5.7000 12.6028
5.7167 12.5519 5.7167 12.6683
5.7333 12.6236 5.7333 12.7399
5.7500 12.6979 5.7500 12.8142
5.7667 12.7748 5.7667 12.8912
5.7834 12.8548 5.7834 12.9711
5.8000 12.9388 5.8000 13.0552
5.8167 13.0216 5.8167 13.1379
5.8334 13.1050 5.8334 13.2214
5.8501 13.1890 5.8501 13.3054
5.8667 13.2721 5.8667 13.3885
5.8834 13.3576 5.8834 13.4740
5.9000 13.4417 5.9000 13.5580
5.9166 13.5279 5.9166 13.6443
5.9334 13.6192 5.9334 13.7355
5.9500 13.7099 5.9500 13.8263
5.9667 13.8037 5.9667 13.9200
5.9834 13.8983 5.9834 14.0147
6.0000 13.9908 6.0000 14.1071
6.0167 14.0862 6.0167 14.2026
6.0334 14.1805 6.0334 14.2969
6.0500 14.2758 6.0500 14.3922
6.0667 14.3740 6.0667 14.4903
6.0834 14.4738 6.0834 14.5901
6.1000 14.5754 6.1000 14.6917
6.1167 14.6796 6.1167 14.7959
6.1334 14.7819 6.1334 14.8982
6.1500 14.8896 6.1500 15.0060
6.1667 15.0031 6.1667 15.1195
6.1833 15.1181 6.1833 15.2344
6.2000 15.2357 6.2000 15.3520
6.2167 15.3529 6.2167 15.4692
6.2334 15.4726 6.2334 15.5889
6.2500 15.5947 6.2500 15.7111
6.2667 15.7157 6.2667 15.8320
6.2834 15.8402 6.2834 15.9565
6.3000 15.9641 6.3000 16.0805
6.3167 16.0913 6.3167 16.2076
6.3333 16.2209 6.3333 16.3372
6.3500 16.3514 6.3500 16.4677
6.3667 16.4817 6.3667 16.5980
6.3834 16.6133 6.3834 16.7296
6.4001 16.7465 6.4001 16.8628
6.4167 16.8801 6.4167 16.9965
6.4334 17.0181 6.4334 17.1345
6.4500 17.1609 6.4500 17.2773
6.4667 17.3140 6.4667 17.4303
6.4834 17.4704 6.4834 17.5867
6.5000 17.6266 6.5000 17.7429
6.5167 17.7898 6.5167 17.9062
6.5334 17.9553 6.5334 18.0716
6.5500 18.1200 6.5500 18.2363
6.5667 18.2903 6.5667 18.4066
6.5833 18.4606 6.5833 18.5769
6.6000 18.6369 6.6000 18.7533
6.6167 18.8187 6.6167 18.9351
6.6334 19.0031 6.6334 19.1194
6.6500 19.1945 6.6500 19.3109
6.6667 19.3881 6.6667 19.5044
6.6834 19.5833 6.6834 19.6996
6.7000 19.7873 6.7000 19.9037
6.7166 19.9929 6.7166 20.1093
6.7333 20.2103 6.7333 20.3267
6.7500 20.4287 6.7500 20.5450
6.7668 20.6505 6.7668 20.7669
6.7834 20.8732 6.7834 20.9895
6.8001 21.1012 6.8001 21.2175
6.8167 21.3325 6.8167 21.4488
6.8333 21.5674 6.8333 21.6838
6.8429 21.7055 6.8429 21.8218
   
"Disp (mm) " "Load (kN)" "d (raw)" "f (raw)"
0 0 1.8146 0.5073
0.0164 0.0196 1.8310 0.5269
0.0333 0.0493 1.8479 0.5566
0.0500 0.0776 1.8646 0.5849
0.0666 0.1058 1.8812 0.6131
0.0834 0.1340 1.8980 0.6413
0.1000 0.1627 1.9146 0.6700
0.1167 0.1927 1.9313 0.7001
0.1333 0.2221 1.9479 0.7294
0.1500 0.2515 1.9646 0.7589
0.1666 0.2812 1.9812 0.7885
0.1833 0.3109 1.9979 0.8182
0.2000 0.3404 2.0146 0.8477
0.2167 0.3700 2.0313 0.8774
0.2334 0.3997 2.0480 0.9070
0.2500 0.4305 2.0646 0.9378
0.2666 0.4631 2.0812 0.9704
0.2833 0.4961 2.0979 1.0034
0.2999 0.5296 2.1145 1.0369
0.3166 0.5633 2.1312 1.0706
0.3333 0.5980 2.1479 1.1053
0.3500 0.6330 2.1646 1.1403
0.3666 0.6689 2.1812 1.1762
0.3833 0.7045 2.1979 1.2118
0.4000 0.7408 2.2146 1.2481
0.4166 0.7770 2.2312 1.2843
0.4333 0.8147 2.2479 1.3220
0.4500 0.8518 2.2646 1.3591
0.4666 0.8889 2.2812 1.3962
0.4834 0.9286 2.2980 1.4359
0.5000 0.9664 2.3146 1.4737
0.5167 1.0050 2.3313 1.5123
0.5333 1.0430 2.3479 1.5503
0.5500 1.0819 2.3646 1.5892
0.5666 1.1201 2.3812 1.6274
0.5833 1.1579 2.3979 1.6652
0.6000 1.1960 2.4146 1.7033
0.6167 1.2342 2.4313 1.7415
0.6333 1.2724 2.4479 1.7797
0.6500 1.3121 2.4646 1.8194
0.6666 1.3527 2.4812 1.8600
0.6833 1.3940 2.4979 1.9013
0.7000 1.4356 2.5146 1.9429
0.7166 1.4769 2.5312 1.9842
0.7333 1.5169 2.5479 2.0242
0.7500 1.5588 2.5646 2.0661
0.7667 1.6000 2.5813 2.1073
0.7834 1.6430 2.5980 2.1504
0.8000 1.6861 2.6146 2.1934
0.8167 1.7290 2.6313 2.2364
0.8333 1.7726 2.6479 2.2799
0.8500 1.8170 2.6646 2.3243
0.8666 1.8605 2.6812 2.3678
0.8834 1.9052 2.6980 2.4126
0.9000 1.9467 2.7146 2.4540
0.9166 1.9893 2.7312 2.4966
0.9333 2.0321 2.7479 2.5394
0.9500 2.0742 2.7646 2.5815
0.9666 2.1175 2.7812 2.6248
0.9833 2.1617 2.7979 2.6690
0.9999 2.2043 2.8145 2.7116
1.0166 2.2482 2.8312 2.7555
1.0334 2.2911 2.8480 2.7984
1.0500 2.3343 2.8646 2.8416
1.0666 2.3759 2.8812 2.8832
1.0833 2.4167 2.8979 2.9240
1.0999 2.4593 2.9145 2.9666
1.1166 2.5020 2.9312 3.0093
1.1332 2.5432 2.9478 3.0505
1.1500 2.5878 2.9646 3.0951
1.1667 2.6316 2.9813 3.1389
1.1833 2.6750 2.9979 3.1823
1.2000 2.7185 3.0146 3.2258
1.2166 2.7613 3.0312 3.2686
1.2333 2.8052 3.0479 3.3125
1.2500 2.8494 3.0646 3.3567
1.2666 2.8921 3.0812 3.3994
1.2833 2.9357 3.0979 3.4430
1.3000 2.9793 3.1146 3.4866
1.3166 3.0234 3.1312 3.5307
1.3333 3.0676 3.1479 3.5749
1.3500 3.1120 3.1646 3.6193
1.3666 3.1555 3.1812 3.6628
1.3833 3.1992 3.1979 3.7066
1.4000 3.2431 3.2146 3.7504
1.4167 3.2865 3.2313 3.7938
1.4334 3.3314 3.2480 3.8388
1.4500 3.3749 3.2646 3.8822
1.4667 3.4188 3.2813 3.9261
1.4833 3.4628 3.2979 3.9701
1.5000 3.5065 3.3146 4.0138
1.5166 3.5511 3.3312 4.0584
1.5334 3.5963 3.3480 4.1036
1.5500 3.6408 3.3646 4.1481
1.5667 3.6859 3.3813 4.1932
1.5834 3.7308 3.3980 4.2381
1.6000 3.7762 3.4146 4.2836
1.6166 3.8222 3.4312 4.3295
1.6333 3.8697 3.4479 4.3770
1.6500 3.9176 3.4646 4.4249
1.6667 3.9667 3.4813 4.4740
1.6833 4.0136 3.4979 4.5209
1.7000 4.0621 3.5146 4.5695
1.7167 4.1090 3.5313 4.6163
1.7333 4.1566 3.5479 4.6639
1.7500 4.2046 3.5646 4.7119
1.7666 4.2516 3.5812 4.7589
1.7833 4.2994 3.5979 4.8067
1.8000 4.3505 3.6146 4.8578
1.8166 4.3973 3.6312 4.9046
1.8333 4.4476 3.6479 4.9549
1.8500 4.4982 3.6646 5.0055
1.8667 4.5473 3.6813 5.0546
1.8833 4.5966 3.6979 5.1039
1.9000 4.6450 3.7146 5.1524
1.9166 4.6944 3.7312 5.2017
1.9333 4.7441 3.7479 5.2514
1.9500 4.7932 3.7646 5.3006
1.9667 4.8439 3.7813 5.3512
1.9834 4.8928 3.7980 5.4001
2.0000 4.9434 3.8146 5.4507
2.0166 4.9948 3.8312 5.5021
2.0333 5.0439 3.8479 5.5512
2.0499 5.0932 3.8645 5.6005
2.0667 5.1439 3.8813 5.6512
2.0833 5.1927 3.8979 5.7000
2.1000 5.2427 3.9146 5.7500
2.1167 5.2936 3.9313 5.8009
2.1334 5.3439 3.9480 5.8512
2.1500 5.3955 3.9646 5.9028
2.1667 5.4472 3.9813 5.9545
2.1833 5.4964 3.9979 6.0037
2.2000 5.5482 4.0146 6.0555
2.2166 5.5979 4.0312 6.1052
2.2333 5.6482 4.0479 6.1555
2.2500 5.6988 4.0646 6.2061
2.2667 5.7486 4.0813 6.2560
2.2833 5.7981 4.0979 6.3055
2.3000 5.8487 4.1146 6.3560
2.3166 5.8994 4.1312 6.4067
2.3333 5.9504 4.1479 6.4577
2.3500 6.0009 4.1646 6.5082
2.3667 6.0519 4.1813 6.5592
2.3833 6.1032 4.1979 6.6105
2.4000 6.1516 4.2146 6.6589
2.4166 6.2012 4.2312 6.7085
2.4333 6.2514 4.2479 6.7587
2.4499 6.3003 4.2645 6.8076
2.4666 6.3520 4.2812 6.8593
2.4833 6.4020 4.2979 6.9093
2.5000 6.4530 4.3146 6.9603
2.5166 6.5036 4.3312 7.0109
2.5334 6.5560 4.3480 7.0633
2.5500 6.6064 4.3646 7.1137
2.5667 6.6567 4.3813 7.1640
2.5833 6.7062 4.3979 7.2135
2.5999 6.7561 4.4145 7.2634
2.6166 6.8069 4.4312 7.3142
2.6334 6.8562 4.4480 7.3635
2.6500 6.9075 4.4646 7.4148
2.6667 6.9589 4.4813 7.4662
2.6833 7.0095 4.4979 7.5168
2.7000 7.0621 4.5146 7.5694
2.7166 7.1130 4.5312 7.6203
2.7333 7.1626 4.5479 7.6699
2.7500 7.2142 4.5646 7.7215
2.7667 7.2645 4.5813 7.7718
2.7833 7.3150 4.5979 7.8223
2.8000 7.3659 4.6146 7.8732
2.8166 7.4162 4.6312 7.9235
2.8333 7.4671 4.6479 7.9744
2.8500 7.5176 4.6646 8.0249
2.8666 7.5671 4.6812 8.0744
2.8833 7.6180 4.6979 8.1253
2.9000 7.6682 4.7146 8.1755
2.9166 7.7193 4.7312 8.2266
2.9333 7.7691 4.7479 8.2764
2.9500 7.8198 4.7646 8.3271
2.9666 7.8704 4.7812 8.3777
2.9833 7.9216 4.7979 8.4289
3.0000 7.9717 4.8146 8.4791
3.0166 8.0224 4.8312 8.5297
3.0334 8.0734 4.8480 8.5807
3.0500 8.1233 4.8646 8.6306
3.0667 8.1736 4.8813 8.6809
3.0833 8.2221 4.8979 8.7294
3.1000 8.2705 4.9146 8.7778
3.1166 8.3207 4.9312 8.8280
3.1333 8.3698 4.9479 8.8772
3.1500 8.4219 4.9646 8.9292
3.1667 8.4736 4.9813 8.9809
3.1834 8.5229 4.9980 9.0302
3.2000 8.5734 5.0146 9.0808
3.2167 8.6227 5.0313 9.1300
3.2333 8.6708 5.0479 9.1781
3.2500 8.7199 5.0646 9.2272
3.2666 8.7685 5.0812 9.2758
3.2833 8.8170 5.0979 9.3244
3.3000 8.8678 5.1146 9.3751
3.3167 8.9164 5.1313 9.4237
3.3333 8.9653 5.1479 9.4727
3.3500 9.0135 5.1646 9.5208
3.3666 9.0609 5.1812 9.5682
3.3833 9.1091 5.1979 9.6164
3.3999 9.1553 5.2145 9.6626
3.4166 9.2032 5.2312 9.7105
3.4333 9.2505 5.2479 9.7579
3.4500 9.2976 5.2646 9.8049
3.4666 9.3445 5.2812 9.8518
3.4834 9.3914 5.2980 9.8987
3.5000 9.4375 5.3146 9.9448
3.5166 9.4853 5.3312 9.9926
3.5333 9.5324 5.3479 10.0397
3.5500 9.5801 5.3646 10.0874
3.5666 9.6276 5.3812 10.1349
3.5834 9.6746 5.3980 10.1820
3.6000 9.7237 5.4146 10.2310
3.6167 9.7830 5.4313 10.2903
3.6333 9.8432 5.4479 10.3506
3.6500 9.9059 5.4646 10.4132
3.6666 9.9674 5.4812 10.4747
3.6834 10.0286 5.4980 10.5359
3.7000 10.0915 5.5146 10.5988
3.7167 10.1535 5.5313 10.6608
3.7333 10.2140 5.5479 10.7213
3.7500 10.2779 5.5646 10.7852
3.7667 10.3387 5.5813 10.8460
