"Disp (mm)" "Load (kN)" "d (raw)" "f (raw)"
0.2833 0.0631 0.2833 0.3118
0.2999 0.0627 0.3000 0.3114
0.3166 0.0660 0.3167 0.3148
0.3333 0.0924 0.3334 0.3412
0.3500 0.1224 0.3501 0.3711
0.3666 0.1536 0.3667 0.4023
0.3833 0.1824 0.3834 0.4311
0.3999 0.2114 0.4000 0.4601
0.4166 0.2400 0.4167 0.4888
0.4332 0.2686 0.4333 0.5173
0.4500 0.2967 0.4500 0.5454
0.4667 0.3264 0.4667 0.5751
0.4834 0.3550 0.4834 0.6038
0.5000 0.3826 0.5000 0.6313
0.5166 0.4111 0.5167 0.6598
0.5333 0.4399 0.5333 0.6886
0.5500 0.4684 0.5500 0.7171
0.5666 0.4982 0.5666 0.7469
0.5834 0.5275 0.5834 0.7762
0.6000 0.5578 0.6000 0.8065
0.6166 0.5884 0.6167 0.8371
0.6333 0.6185 0.6334 0.8672
0.6500 0.6488 0.6500 0.8975
0.6666 0.6796 0.6667 0.9284
0.6833 0.7102 0.6833 0.9589
0.7000 0.7413 0.7000 0.9900
0.7166 0.7729 0.7167 1.0216
0.7333 0.8036 0.7334 1.0523
0.7500 0.8352 0.7500 1.0839
0.7667 0.8671 0.7667 1.1158
0.7833 0.8985 0.7834 1.1472
0.8000 0.9304 0.8000 1.1792
0.8166 0.9620 0.8166 1.2107
0.8333 0.9933 0.8333 1.2420
0.8500 1.0254 0.8500 1.2742
0.8667 1.0562 0.8667 1.3050
0.8833 1.0885 0.8834 1.3372
0.9000 1.1207 0.9000 1.3694
0.9166 1.1533 0.9167 1.4020
0.9333 1.1859 0.9333 1.4347
0.9500 1.2173 0.9500 1.4661
0.9666 1.2499 0.9667 1.4986
0.9833 1.2824 0.9834 1.5311
1.0000 1.3132 1.0000 1.5619
1.0166 1.3458 1.0167 1.5946
1.0334 1.3784 1.0334 1.6271
1.0500 1.4102 1.0500 1.6589
1.0666 1.4437 1.0667 1.6925
1.0833 1.4767 1.0834 1.7255
1.1000 1.5104 1.1000 1.7592
1.1166 1.5437 1.1167 1.7925
1.1334 1.5766 1.1334 1.8253
1.1500 1.6097 1.1501 1.8584
1.1667 1.6420 1.1668 1.8908
1.1833 1.6749 1.1833 1.9236
1.2000 1.7092 1.2000 1.9580
1.2166 1.7424 1.2166 1.9912
1.2333 1.7772 1.2334 2.0260
1.2500 1.8121 1.2500 2.0608
1.2667 1.8456 1.2667 2.0944
1.2833 1.8801 1.2834 2.1288
1.3000 1.9149 1.3001 2.1636
1.3166 1.9491 1.3166 2.1979
1.3333 1.9838 1.3333 2.2325
1.3500 2.0184 1.3500 2.2672
1.3666 2.0529 1.3667 2.3017
1.3833 2.0882 1.3833 2.3369
1.4000 2.1244 1.4001 2.3731
1.4166 2.1595 1.4167 2.4082
1.4334 2.1954 1.4334 2.4441
1.4500 2.2305 1.4500 2.4792
1.4666 2.2656 1.4666 2.5144
1.4833 2.3008 1.4833 2.5495
1.5000 2.3355 1.5000 2.5842
1.5166 2.3716 1.5167 2.6204
1.5333 2.4074 1.5334 2.6562
1.5500 2.4421 1.5500 2.6909
