"Test Type","Compression"
"Method Name:","C:\INSTRON\USER\TEMPLATE\Andyscomp.mtB"
"Name:","Transnet Compression Tests"
"Operator ID:","AndyS"
"Company:","IRL"
"Lab name:","Rm 3.09"
"Test date:","25/08/08"
"Temperature:","20.5"
"Humidity:","57.5"
"Note 1:","Plastic Telegraph Pole Breast and Heel Plate Tests"
"Note 2:",""
"Note 3:",""
"Geometry:","Rectangular"
"Specimen",1
"Specimen name:","A1Cycle"
"Width:",342.000000,"mm"
"Thickness:",446.000000,"mm"
"Anvil height:",90.000000,"mm"
"Diameter:",50.000000,"mm"
"Inner diameter:",0.500000,"mm"
"Outer diameter:",1.000000,"mm"
"Wall thickness:",0.500000,"mm"
"Area:",152532.000000,"mm*mm"
"Linear density:",1.000000,"den"
"Sled weight:",9.806650,"N"
"Loading span:",0.000000,"mm"
"Support span:",1.000000,"mm"
"Span ratio:","2"
"Fixture type:","3-point"
"Comment:","Transnet Small Rectangular Sample"
"Extensometer",-10.000000,"**mm"
"Included"
"Time sec","Extension mm","Strain 1 %","Load N","Comp. stress MPa","Cycle Count ","Total Cycle Count ","Comp. extension mm","Comp. strain %","True strain %","Comp. load N","True stress Pa"
49,-0.8166799,-0.01704276,-1267.884,0.008312252,0,0,0.001704276,0.01704276,0.01704421,1267.885,8310.836
50,-0.8333998,-0.016963,-1300.687,0.008527305,0,0,0.0016963,0.016963,0.01696444,1300.687,8525.858
51,-0.8500799,-0.01686729,-1335.156,0.008753287,0,0,0.001686729,0.01686729,0.01686872,1335.156,8751.81
52,-0.8666798,-0.01689918,-1368.478,0.008971743,0,0,0.001689918,0.01689918,0.01690061,1368.478,8970.227
53,-0.8833999,-0.01681942,-1403.075,0.009198564,0,0,0.001681942,0.01681942,0.01682084,1403.075,9197.017
54,-0.9000399,-0.01659613,-1436.608,0.009418407,0,0,0.001659613,0.01659613,0.01659751,1436.609,9416.845
55,-0.9166399,-0.01669183,-1471.696,0.009648439,0,0,0.001669183,0.01669183,0.01669323,1471.696,9646.828
56,-0.9333199,-0.016963,-1506.685,0.00987783,0,0,0.0016963,0.016963,0.01696444,1506.685,9876.154
57,-0.9499999,-0.01701087,-1541.316,0.01010487,0,0,0.001701087,0.01701087,0.01701232,1541.316,10103.15
58,-0.9667199,-0.01673967,-1577.86,0.01034446,0,0,0.001673967,0.01673967,0.01674107,1577.86,10342.72
59,-0.9833998,-0.01699489,-1613.786,0.01057998,0,0,0.001699489,0.01699489,0.01699633,1613.786,10578.18
60,-1.00004,-0.01658019,-1651.663,0.01082831,0,0,0.001658019,0.01658019,0.01658156,1651.663,10826.51
61,-1.01672,-0.01683541,-1689.309,0.01107511,0,0,0.001683541,0.01683541,0.01683682,1689.309,11073.25
62,-1.03336,-0.01685135,-1726.89,0.01132149,0,0,0.001685135,0.01685135,0.01685277,1726.89,11319.58
63,-1.05,-0.016963,-1766.196,0.01157918,0,0,0.0016963,0.016963,0.01696444,1766.196,11577.22
64,-1.06668,-0.01718633,-1804.821,0.01183241,0,0,0.001718633,0.01718633,0.01718781,1804.821,11830.38
65,-1.08336,-0.01673967,-1843.241,0.01208429,0,0,0.001673967,0.01673967,0.01674107,1843.241,12082.27
66,-1.1,-0.01667589,-1881.92,0.01233787,0,0,0.001667589,0.01667589,0.01667728,1881.92,12335.81
67,-1.11672,-0.01665995,-1920.809,0.01259283,0,0,0.001665995,0.01665995,0.01666133,1920.809,12590.73
68,-1.13336,-0.01667589,-1959.774,0.01284828,0,0,0.001667589,0.01667589,0.01667728,1959.774,12846.14
69,-1.15008,-0.01678754,-1998.763,0.01310389,0,0,0.001678754,0.01678754,0.01678895,1998.763,13101.7
70,-1.16668,-0.01662802,-2037.589,0.01335844,0,0,0.001662802,0.01662802,0.0166294,2037.589,13356.22
71,-1.18336,-0.01677159,-2076.268,0.01361202,0,0,0.001677159,0.01677159,0.016773,2076.268,13609.74
72,-1.2,-0.01680348,-2115.571,0.01386969,0,0,0.001680348,0.01680348,0.01680489,2115.571,13867.36
73,-1.21668,-0.01665995,-2155.883,0.01413398,0,0,0.001665995,0.01665995,0.01666133,2155.884,14131.62
74,-1.23336,-0.01686729,-2196.569,0.01440071,0,0,0.001686729,0.01686729,0.01686872,2196.569,14398.28
75,-1.25008,-0.01704276,-2237.217,0.0146672,0,0,0.001704276,0.01704276,0.01704421,2237.217,14664.7
76,-1.26668,-0.01658019,-2277.894,0.01493388,0,0,0.001658019,0.01658019,0.01658156,2277.894,14931.4
77,-1.2834,-0.01689918,-2318.914,0.0152028,0,0,0.001689918,0.01689918,0.01690061,2318.914,15200.23
78,-1.30004,-0.01699489,-2358.304,0.01546104,0,0,0.001699489,0.01699489,0.01699633,2358.304,15458.42
79,-1.31668,-0.01697894,-2397.972,0.01572111,0,0,0.001697894,0.01697894,0.01698038,2397.972,15718.44
80,-1.33332,-0.01688324,-2437.699,0.01598156,0,0,0.001688324,0.01688324,0.01688466,2437.699,15978.86
81,-1.35,-0.01701087,-2478.415,0.01624849,0,0,0.001701087,0.01701087,0.01701232,2478.415,16245.73
82,-1.36668,-0.01712251,-2519.248,0.01651619,0,0,0.001712251,0.01712251,0.01712398,2519.248,16513.37
83,-1.3834,-0.01686729,-2560.237,0.01678492,0,0,0.001686729,0.01686729,0.01686872,2560.237,16782.09
84,-1.4,-0.01713846,-2601.023,0.01705231,0,0,0.001713846,0.01713846,0.01713993,2601.023,17049.39
85,-1.41672,-0.0170587,-2644.469,0.01733714,0,0,0.00170587,0.0170587,0.01706016,2644.469,17334.18
86,-1.43336,-0.01697894,-2685.309,0.01760489,0,0,0.001697894,0.01697894,0.01698038,2685.309,17601.9
87,-1.45004,-0.01689918,-2726.632,0.0178758,0,0,0.001689918,0.01689918,0.01690061,2726.632,17872.78
88,-1.46664,-0.01718633,-2769.42,0.01815632,0,0,0.001718633,0.01718633,0.01718781,2769.419,18153.2
89,-1.48336,-0.01689918,-2810.454,0.01842534,0,0,0.001689918,0.01689918,0.01690061,2810.454,18422.23
90,-1.5,-0.01680348,-2852.345,0.01869998,0,0,0.001680348,0.01680348,0.01680489,2852.345,18696.84
91,-1.51676,-0.01717038,-2894.628,0.01897719,0,0,0.001717038,0.01717038,0.01717186,2894.628,18973.93
92,-1.53336,-0.01707464,-2937.778,0.01926008,0,0,0.001707464,0.01707464,0.0170761,2937.779,19256.79
93,-1.55008,-0.01713846,-2980.657,0.01954119,0,0,0.001713846,0.01713846,0.01713993,2980.657,19537.84
94,-1.56668,-0.01739368,-3024.983,0.01983179,0,0,0.001739368,0.01739368,0.01739519,3024.983,19828.34
95,-1.58332,-0.01688324,-3068.351,0.02011611,0,0,0.001688324,0.01688324,0.01688466,3068.351,20112.72
96,-1.6,-0.01689918,-3111.647,0.02039996,0,0,0.001689918,0.01689918,0.01690061,3111.647,20396.52
97,-1.61668,-0.01697894,-3155.24,0.02068575,0,0,0.001697894,0.01697894,0.01698038,3155.24,20682.24
98,-1.63332,-0.0171544,-3199.89,0.02097848,0,0,0.00171544,0.0171544,0.01715587,3199.89,20974.89
99,-1.65004,-0.01694705,-3243.784,0.02126625,0,0,0.001694705,0.01694705,0.01694849,3243.784,21262.65
100,-1.66672,-0.01709063,-3287.344,0.02155183,0,0,0.001709063,0.01709063,0.01709209,3287.344,21548.15
101,-1.6834,-0.01717038,-3332.325,0.02184672,0,0,0.001717038,0.01717038,0.01717186,3332.325,21842.97
102,-1.70004,-0.0170587,-3376.412,0.02213576,0,0,0.00170587,0.0170587,0.01706016,3376.412,22131.99
103,-1.71664,-0.01731392,-3420.625,0.02242562,0,0,0.001731392,0.01731392,0.01731542,3420.625,22421.74
104,-1.73332,-0.01713846,-3466.703,0.02272771,0,0,0.001713846,0.01713846,0.01713993,3466.703,22723.82
105,-1.75004,-0.01720227,-3511.003,0.02301814,0,0,0.001720227,0.01720227,0.01720375,3511.003,23014.18
106,-1.76664,-0.01732986,-3555.774,0.02331166,0,0,0.001732986,0.01732986,0.01733137,3555.774,23307.62
107,-1.7834,-0.01693111,-3602.384,0.02361723,0,0,0.001693111,0.01693111,0.01693254,3602.384,23613.23
108,-1.80004,-0.01726609,-3647.358,0.02391208,0,0,0.001726609,0.01726609,0.01726758,3647.358,23907.96
109,-1.81668,-0.01701087,-3692.558,0.02420841,0,0,0.001701087,0.01701087,0.01701232,3692.558,24204.3
110,-1.83336,-0.016963,-3738.662,0.02451067,0,0,0.0016963,0.016963,0.01696444,3738.662,24506.51
