"Disp (mm)" "Load (kN)" "d (raw)" "f (raw)"
4.8167 18.9275 5.8152 19.1899
4.8334 19.0521 5.8319 19.3145
4.8500 19.1794 5.8486 19.4418
4.8667 19.3101 5.8653 19.5725
4.8834 19.4423 5.8819 19.7047
4.9000 19.5771 5.8986 19.8395
4.9167 19.7139 5.9153 19.9762
4.9334 19.8569 5.9319 20.1193
4.9500 20.0017 5.9486 20.2641
4.9667 20.1461 5.9652 20.4085
4.9834 20.2944 5.9819 20.5568
5.0000 20.4415 5.9986 20.7039
5.0167 20.5869 6.0152 20.8492
5.0333 20.7352 6.0319 20.9976
5.0500 20.8847 6.0486 21.1471
5.0667 21.0358 6.0652 21.2982
5.0833 21.1877 6.0819 21.4501
5.1000 21.3400 6.0986 21.6024
5.1167 21.4958 6.1152 21.7581
5.1334 21.6520 6.1320 21.9144
5.1500 21.8055 6.1486 22.0678
5.1667 21.9604 6.1652 22.2228
5.1833 22.1170 6.1819 22.3794
5.2000 22.2736 6.1986 22.5360
5.2166 22.4333 6.2152 22.6957
5.2334 22.5933 6.2319 22.8557
5.2500 22.7537 6.2486 23.0161
5.2667 22.9199 6.2653 23.1823
5.2834 23.0838 6.2819 23.3462
5.3001 23.2473 6.2986 23.5096
5.3167 23.4127 6.3153 23.6751
5.3334 23.5779 6.3320 23.8403
5.3500 23.7429 6.3486 24.0053
5.3666 23.9106 6.3652 24.1730
5.3833 24.0767 6.3819 24.3391
5.4001 24.2466 6.3986 24.5089
5.4167 24.4136 6.4153 24.6760
5.4334 24.5809 6.4320 24.8433
5.4488 24.7380 6.4474 25.0003
5.4489 24.7383 6.4474 25.0007
5.4330 24.5932 6.4316 24.8555
5.4191 24.3428 6.4176 24.6052
5.4069 24.0928 6.4055 24.3552
5.3944 23.8427 6.3929 24.1051
5.3814 23.5924 6.3799 23.8547
5.3679 23.3418 6.3664 23.6042
5.3541 23.0913 6.3527 23.3537
5.3400 22.8412 6.3386 23.1036
5.3256 22.5910 6.3242 22.8534
5.3109 22.3405 6.3094 22.6029
5.2961 22.0901 6.2947 22.3525
5.2809 21.8397 6.2795 22.1020
5.2656 21.5894 6.2642 21.8518
5.2502 21.3393 6.2488 21.6017
5.2344 21.0890 6.2329 21.3514
5.2182 20.8388 6.2168 21.1012
5.2017 20.5888 6.2003 20.8512
5.1851 20.3450 6.1836 20.6073
5.1684 20.1031 6.1670 20.3654
5.1518 19.8671 6.1503 20.1294
5.1351 19.6320 6.1336 19.8943
5.1184 19.3965 6.1170 19.6589
5.1017 19.1635 6.1002 19.4259
5.0850 18.9318 6.0836 19.1942
5.0684 18.7052 6.0670 18.9676
5.0518 18.4879 6.0503 18.7503
5.0351 18.2723 6.0336 18.5347
5.0184 18.0611 6.0170 18.3235
5.0017 17.8530 6.0003 18.1154
4.9850 17.6483 5.9836 17.9107
4.9684 17.4477 5.9670 17.7100
4.9518 17.2537 5.9503 17.5161
4.9351 17.0638 5.9336 17.3261
4.9184 16.8763 5.9170 17.1386
4.9017 16.6914 5.9003 16.9537
4.8851 16.5111 5.8836 16.7735
4.8684 16.3363 5.8670 16.5987
4.8518 16.1634 5.8503 16.4258
4.8350 15.9948 5.8336 16.2572
4.8184 15.8344 5.8170 16.0968
4.8017 15.6741 5.8003 15.9365
4.7851 15.5181 5.7836 15.7805
4.7684 15.3657 5.7670 15.6281
4.7518 15.2151 5.7504 15.4775
4.7351 15.0684 5.7336 15.3308
4.7184 14.9216 5.7170 15.1840
4.7017 14.7782 5.7003 15.0406
4.6851 14.6379 5.6836 14.9003
4.6684 14.4976 5.6670 14.7600
4.6518 14.3614 5.6503 14.6237
4.6351 14.2274 5.6336 14.4898
4.6184 14.0918 5.6170 14.3542
4.6017 13.9595 5.6003 14.2219
4.5851 13.8254 5.5836 14.0878
4.5684 13.6927 5.5670 13.9550
4.5518 13.5656 5.5503 13.8280
4.5351 13.4391 5.5336 13.7015
4.5184 13.3159 5.5170 13.5783
4.5017 13.1934 5.5003 13.4558
4.4851 13.0707 5.4836 13.3331
4.4684 12.9509 5.4670 13.2132
4.4517 12.8314 5.4503 13.0938
4.4351 12.7112 5.4336 12.9736
4.4184 12.5973 5.4170 12.8597
4.4017 12.4803 5.4003 12.7427
4.3851 12.3679 5.3836 12.6303
4.3684 12.2603 5.3670 12.5227
4.3518 12.1546 5.3503 12.4170
4.3350 12.0514 5.3336 12.3138
4.3184 11.9487 5.3170 12.2110
4.3017 11.8466 5.3003 12.1089
4.2851 11.7473 5.2836 12.0097
4.2684 11.6478 5.2670 11.9102
4.2518 11.5491 5.2503 11.8114
4.2351 11.4517 5.2336 11.7141
4.2184 11.3552 5.2170 11.6176
4.2017 11.2596 5.2002 11.5219
4.1850 11.1663 5.1836 11.4287
4.1684 11.0731 5.1669 11.3354
4.1517 10.9825 5.1503 11.2449
4.1351 10.8919 5.1336 11.1543
4.1184 10.8001 5.1170 11.0625
4.1017 10.7106 5.1003 10.9730
4.0850 10.6191 5.0836 10.8815
4.0684 10.5291 5.0669 10.7915
4.0518 10.4430 5.0503 10.7054
4.0351 10.3588 5.0336 10.6212
4.0184 10.2768 5.0170 10.5391
4.0017 10.1965 5.0003 10.4589
3.9850 10.1140 4.9836 10.3764
3.9684 10.0353 4.9670 10.2977
3.9517 9.9577 4.9503 10.2201
3.9350 9.8788 4.9336 10.1412
3.9184 9.8021 4.9169 10.0645
3.9018 9.7242 4.9003 9.9865
3.8850 9.6452 4.8836 9.9076
3.8684 9.5700 4.8670 9.8324
3.8518 9.4942 4.8504 9.7566
3.8351 9.4192 4.8337 9.6816
3.8184 9.3435 4.8169 9.6059
3.8017 9.2663 4.8002 9.5286
3.7850 9.1911 4.7836 9.4535
3.7684 9.1170 4.7670 9.3793
3.7517 9.0427 4.7503 9.3051
3.7351 8.9698 4.7336 9.2322
3.7184 8.8958 4.7170 9.1581
3.7018 8.8242 4.7003 9.0866
3.6850 8.7532 4.6836 9.0156
3.6684 8.6819 4.6670 8.9442
3.6518 8.6118 4.6503 8.8741
3.6351 8.5412 4.6336 8.8035
3.6184 8.4700 4.6170 8.7324
3.6018 8.4012 4.6003 8.6635
3.5851 8.3298 4.5836 8.5922
3.5684 8.2608 4.5670 8.5232
3.5517 8.1930 4.5503 8.4554
3.5351 8.1241 4.5336 8.3864
3.5184 8.0558 4.5170 8.3181
3.5017 7.9895 4.5003 8.2519
3.4850 7.9227 4.4836 8.1850
3.4684 7.8583 4.4670 8.1207
3.4518 7.7925 4.4503 8.0549
3.4351 7.7274 4.4337 7.9898
3.4184 7.6626 4.4170 7.9250
3.4018 7.5961 4.4003 7.8584
3.3850 7.5297 4.3836 7.7920
3.3684 7.4665 4.3670 7.7289
3.3517 7.4013 4.3502 7.6637
3.3351 7.3393 4.3337 7.6017
3.3184 7.2754 4.3170 7.5378
3.3018 7.2111 4.3003 7.4735
3.2850 7.1474 4.2836 7.4097
3.2684 7.0831 4.2670 7.3455
3.2517 7.0203 4.2503 7.2826
3.2351 6.9585 4.2336 7.2208
3.2184 6.8954 4.2170 7.1577
3.2018 6.8331 4.2003 7.0955
3.1850 6.7714 4.1836 7.0338
3.1684 6.7101 4.1670 6.9724
3.1517 6.6512 4.1503 6.9136
3.1351 6.5906 4.1337 6.8530
3.1184 6.5295 4.1169 6.7919
3.1017 6.4684 4.1003 6.7307
3.0850 6.4067 4.0836 6.6690
3.0684 6.3461 4.0670 6.6085
3.0517 6.2879 4.0503 6.5502
3.0351 6.2278 4.0336 6.4902
3.0184 6.1683 4.0170 6.4307
3.0018 6.1092 4.0003 6.3716
2.9850 6.0491 3.9836 6.3115
2.9684 5.9909 3.9670 6.2532
2.9518 5.9320 3.9503 6.1944
2.9351 5.8730 3.9336 6.1353
2.9184 5.8166 3.9170 6.0790
2.9018 5.7581 3.9003 6.0205
2.8850 5.7004 3.8836 5.9628
2.8684 5.6434 3.8670 5.9057
2.8517 5.5848 3.8503 5.8472
2.8351 5.5287 3.8336 5.7911
2.8184 5.4711 3.8170 5.7335
2.8017 5.4146 3.8003 5.6770
2.7850 5.3577 3.7836 5.6200
2.7684 5.3006 3.7670 5.5630
2.7518 5.2437 3.7503 5.5061
2.7351 5.1886 3.7337 5.4510
2.7184 5.1310 3.7170 5.3934
2.7017 5.0753 3.7003 5.3376
2.6850 5.0191 3.6836 5.2815
2.6684 4.9627 3.6669 5.2251
2.6517 4.9080 3.6502 5.1704
2.6351 4.8533 3.6336 5.1157
2.6184 4.7977 3.6170 5.0601
2.6017 4.7428 3.6002 5.0051
2.5850 4.6863 3.5836 4.9486
2.5684 4.6328 3.5670 4.8952
2.5518 4.5799 3.5503 4.8423
2.5351 4.5248 3.5336 4.7871
2.5184 4.4710 3.5169 4.7334
2.5017 4.4166 3.5003 4.6789
2.4850 4.3619 3.4836 4.6243
2.4684 4.3078 3.4669 4.5702
2.4518 4.2537 3.4503 4.5161
2.4350 4.1995 3.4336 4.4619
2.4184 4.1471 3.4170 4.4094
2.4017 4.0934 3.4002 4.3557
2.3851 4.0413 3.3836 4.3037
2.3684 3.9897 3.3670 4.2521
2.3518 3.9368 3.3503 4.1992
2.3350 3.8861 3.3336 4.1485
2.3184 3.8341 3.3170 4.0965
2.3017 3.7818 3.3002 4.0441
2.2851 3.7305 3.2836 3.9929
2.2684 3.6782 3.2670 3.9405
2.2517 3.6269 3.2503 3.8892
2.2350 3.5765 3.2336 3.8388
2.2184 3.5255 3.2170 3.7879
2.2017 3.4741 3.2003 3.7365
2.1851 3.4234 3.1836 3.6858
2.1684 3.3717 3.1669 3.6341
2.1517 3.3222 3.1503 3.5845
2.1350 3.2716 3.1336 3.5340
2.1184 3.2223 3.1170 3.4847
2.1018 3.1731 3.1003 3.4354
2.0851 3.1232 3.0836 3.3856
2.0684 3.0735 3.0670 3.3358
2.0518 3.0264 3.0503 3.2888
2.0350 2.9775 3.0336 3.2398
2.0184 2.9302 3.0170 3.1926
2.0017 2.8811 3.0002 3.1434
1.9851 2.8324 2.9836 3.0948
1.9684 2.7832 2.9669 3.0456
1.9518 2.7357 2.9503 2.9980
1.9351 2.6878 2.9336 2.9501
1.9184 2.6409 2.9170 2.9033
1.9017 2.5927 2.9002 2.8551
1.8850 2.5455 2.8836 2.8079
1.8684 2.4985 2.8669 2.7608
1.8518 2.4519 2.8503 2.7143
1.8351 2.4055 2.8336 2.6678
1.8184 2.3589 2.8170 2.6212
1.8017 2.3113 2.8003 2.5736
1.7851 2.2646 2.7836 2.5270
1.7684 2.2180 2.7669 2.4804
1.7517 2.1722 2.7503 2.4345
1.7350 2.1266 2.7336 2.3889
1.7184 2.0809 2.7170 2.3433
1.7017 2.0352 2.7003 2.2976
1.6851 1.9900 2.6836 2.2524
1.6684 1.9453 2.6670 2.2077
1.6518 1.9009 2.6503 2.1632
1.6350 1.8563 2.6336 2.1186
1.6184 1.8114 2.6170 2.0737
1.6017 1.7671 2.6002 2.0294
1.5851 1.7241 2.5836 1.9865
1.5684 1.6810 2.5670 1.9433
1.5518 1.6381 2.5503 1.9005
1.5351 1.5952 2.5336 1.8576
1.5184 1.5531 2.5170 1.8155
1.5017 1.5111 2.5003 1.7735
1.4850 1.4694 2.4836 1.7317
1.4684 1.4278 2.4670 1.6901
1.4518 1.3857 2.4503 1.6480
1.4351 1.3443 2.4336 1.6066
1.4184 1.3052 2.4170 1.5675
1.4017 1.2654 2.4003 1.5278
1.3851 1.2261 2.3836 1.4885
1.3684 1.1870 2.3669 1.4494
1.3517 1.1490 2.3503 1.4113
1.3350 1.1114 2.3336 1.3738
1.3184 1.0752 2.3170 1.3376
1.3017 1.0381 2.3002 1.3005
1.2851 1.0039 2.2836 1.2663
1.2684 0.9713 2.2670 1.2336
1.2518 0.9394 2.2504 1.2018
1.2351 0.9083 2.2336 1.1707
1.2184 0.8757 2.2170 1.1380
1.2017 0.8450 2.2002 1.1074
1.1850 0.8139 2.1836 1.0762
1.1684 0.7835 2.1670 1.0458
1.1518 0.7538 2.1503 1.0162
1.1351 0.7233 2.1336 0.9857
1.1184 0.6931 2.1170 0.9554
1.1017 0.6635 2.1003 0.9259
1.0850 0.6334 2.0836 0.8958
1.0684 0.6045 2.0670 0.8668
1.0517 0.5758 2.0503 0.8382
1.0351 0.5469 2.0336 0.8093
1.0184 0.5190 2.0170 0.7814
1.0018 0.4920 2.0003 0.7544
0.9850 0.4652 1.9836 0.7276
0.9684 0.4398 1.9670 0.7022
0.9517 0.4157 1.9503 0.6781
0.9351 0.3904 1.9336 0.6527
0.9184 0.3649 1.9170 0.6273
0.9017 0.3406 1.9003 0.6030
0.8851 0.3167 1.8836 0.5790
0.8684 0.2932 1.8670 0.5556
0.8517 0.2696 1.8503 0.5320
0.8351 0.2460 1.8336 0.5083
0.8184 0.2238 1.8169 0.4862
0.8017 0.2016 1.8003 0.4639
0.7850 0.1812 1.7836 0.4435
0.7684 0.1625 1.7670 0.4249
0.7517 0.1452 1.7503 0.4076
0.7448 0.1376 1.7433 0.3999
0.7448 0.1375 1.7433 0.3999
0.7606 0.1502 1.7592 0.4126
0.7779 0.1795 1.7765 0.4419
0.7947 0.2177 1.7933 0.4801
0.8114 0.2598 1.8100 0.5221
0.8281 0.3025 1.8267 0.5649
0.8448 0.3448 1.8433 0.6072
0.8614 0.3878 1.8600 0.6502
0.8781 0.4310 1.8767 0.6934
0.8947 0.4751 1.8933 0.7375
0.9114 0.5221 1.9100 0.7845
0.9281 0.5704 1.9266 0.8327
0.9448 0.6186 1.9433 0.8810
0.9614 0.6650 1.9600 0.9274
0.9781 0.7132 1.9767 0.9756
0.9948 0.7613 1.9933 1.0236
1.0114 0.8075 2.0100 1.0699
1.0280 0.8549 2.0266 1.1172
1.0447 0.9031 2.0433 1.1655
1.0614 0.9517 2.0600 1.2141
1.0781 1.0013 2.0767 1.2637
1.0948 1.0532 2.0933 1.3156
1.1114 1.1062 2.1100 1.3686
1.1281 1.1625 2.1266 1.4249
1.1448 1.2193 2.1433 1.4817
1.1614 1.2771 2.1600 1.5394
1.1781 1.3373 2.1766 1.5997
1.1948 1.3962 2.1933 1.6585
1.2115 1.4579 2.2100 1.7203
1.2282 1.5211 2.2267 1.7834
1.2448 1.5833 2.2434 1.8457
1.2614 1.6464 2.2599 1.9088
1.2780 1.7092 2.2766 1.9715
1.2947 1.7724 2.2933 2.0347
1.3114 1.8364 2.3100 2.0987
1.3281 1.9006 2.3266 2.1630
1.3448 1.9651 2.3434 2.2275
1.3614 2.0306 2.3600 2.2930
1.3782 2.0953 2.3767 2.3577
1.3947 2.1606 2.3933 2.4229
1.4114 2.2263 2.4100 2.4887
1.4281 2.2927 2.4266 2.5550
1.4447 2.3569 2.4433 2.6193
1.4614 2.4230 2.4600 2.6854
1.4781 2.4882 2.4767 2.7506
1.4948 2.5543 2.4933 2.8166
1.5115 2.6196 2.5100 2.8820
1.5281 2.6828 2.5266 2.9451
1.5447 2.7497 2.5433 3.0120
1.5614 2.8155 2.5599 3.0779
1.5781 2.8820 2.5766 3.1443
1.5947 2.9490 2.5933 3.2113
1.6114 3.0141 2.6100 3.2765
1.6281 3.0808 2.6267 3.3431
1.6448 3.1467 2.6434 3.4090
1.6614 3.2128 2.6600 3.4752
1.6781 3.2812 2.6767 3.5436
1.6947 3.3469 2.6933 3.6093
1.7114 3.4130 2.7100 3.6754
1.7281 3.4804 2.7266 3.7427
1.7448 3.5483 2.7434 3.8107
1.7614 3.6146 2.7600 3.8770
1.7781 3.6824 2.7767 3.9448
1.7947 3.7493 2.7933 4.0117
1.8114 3.8162 2.8100 4.0785
1.8281 3.8828 2.8266 4.1451
1.8447 3.9502 2.8433 4.2125
1.8614 4.0184 2.8599 4.2808
1.8781 4.0863 2.8767 4.3487
1.8948 4.1536 2.8933 4.4160
1.9115 4.2229 2.9100 4.4852
1.9281 4.2896 2.9266 4.5520
1.9448 4.3582 2.9433 4.6205
1.9614 4.4270 2.9600 4.6894
1.9781 4.4934 2.9766 4.7558
1.9947 4.5621 2.9933 4.8244
2.0115 4.6312 3.0100 4.8935
2.0281 4.6989 3.0267 4.9612
2.0448 4.7679 3.0434 5.0303
2.0614 4.8357 3.0600 5.0980
2.0781 4.9042 3.0767 5.1665
2.0947 4.9724 3.0933 5.2347
2.1114 5.0408 3.1100 5.3031
2.1280 5.1088 3.1266 5.3712
2.1448 5.1771 3.1434 5.4395
2.1614 5.2459 3.1600 5.5083
2.1781 5.3150 3.1767 5.5773
2.1948 5.3838 3.1933 5.6461
2.2114 5.4528 3.2100 5.7151
2.2281 5.5231 3.2267 5.7854
2.2447 5.5921 3.2433 5.8544
2.2614 5.6618 3.2600 5.9241
2.2781 5.7323 3.2766 5.9947
2.2948 5.7996 3.2933 6.0620
2.3114 5.8697 3.3100 6.1320
2.3281 5.9383 3.3267 6.2007
2.3448 6.0061 3.3433 6.2685
2.3614 6.0750 3.3600 6.3374
2.3781 6.1433 3.3766 6.4057
2.3947 6.2146 3.3933 6.4769
2.4114 6.2846 3.4100 6.5470
2.4281 6.3537 3.4267 6.6160
2.4448 6.4235 3.4433 6.6859
2.4615 6.4927 3.4600 6.7551
2.4781 6.5614 3.4766 6.8238
2.4947 6.6313 3.4933 6.8937
2.5114 6.7006 3.5100 6.9629
2.5281 6.7700 3.5267 7.0323
2.5448 6.8415 3.5433 7.1038
2.5614 6.9097 3.5600 7.1720
2.5780 6.9794 3.5766 7.2417
2.5948 7.0510 3.5934 7.3133
2.6114 7.1190 3.6100 7.3813
2.6281 7.1882 3.6267 7.4506
2.6448 7.2590 3.6433 7.5214
2.6614 7.3263 3.6600 7.5887
2.6781 7.3959 3.6767 7.6582
2.6948 7.4651 3.6934 7.7274
2.7114 7.5340 3.7100 7.7964
2.7282 7.6043 3.7267 7.8667
2.7448 7.6739 3.7433 7.9362
2.7614 7.7439 3.7600 8.0062
2.7781 7.8146 3.7766 8.0770
2.7948 7.8851 3.7933 8.1475
2.8114 7.9547 3.8100 8.2171
2.8282 8.0255 3.8267 8.2879
2.8448 8.0958 3.8433 8.3581
2.8615 8.1677 3.8600 8.4300
2.8781 8.2381 3.8766 8.5004
2.8948 8.3092 3.8933 8.5715
2.9114 8.3814 3.9100 8.6437
2.9281 8.4521 3.9266 8.7145
2.9447 8.5232 3.9433 8.7856
2.9615 8.5951 3.9600 8.8575
2.9781 8.6660 3.9766 8.9284
2.9948 8.7377 3.9934 9.0001
3.0114 8.8075 4.0100 9.0698
3.0280 8.8792 4.0266 9.1415
3.0447 8.9528 4.0433 9.2151
3.0615 9.0262 4.0600 9.2886
3.0780 9.0978 4.0766 9.3602
3.0948 9.1718 4.0934 9.4341
3.1114 9.2426 4.1100 9.5050
3.1282 9.3150 4.1267 9.5774
3.1448 9.3856 4.1433 9.6480
3.1614 9.4570 4.1600 9.7193
3.1780 9.5279 4.1766 9.7903
3.1948 9.6002 4.1934 9.8626
3.2114 9.6736 4.2100 9.9360
3.2281 9.7477 4.2267 10.0100
3.2448 9.8187 4.2433 10.0811
3.2614 9.8917 4.2600 10.1541
3.2781 9.9631 4.2766 10.2255
3.2948 10.0356 4.2933 10.2980
3.3114 10.1081 4.3100 10.3705
3.3281 10.1803 4.3267 10.4427
3.3447 10.2519 4.3433 10.5143
3.3614 10.3261 4.3600 10.5885
3.3781 10.3981 4.3767 10.6605
3.3948 10.4719 4.3934 10.7343
3.4114 10.5462 4.4100 10.8086
3.4281 10.6204 4.4267 10.8828
3.4447 10.6942 4.4433 10.9565
3.4614 10.7657 4.4600 11.0280
3.4780 10.8373 4.4766 11.0997
3.4948 10.9111 4.4934 11.1735
3.5114 10.9836 4.5100 11.2460
3.5281 11.0579 4.5267 11.3203
3.5448 11.1339 4.5433 11.3963
3.5614 11.2085 4.5600 11.4708
3.5780 11.2838 4.5766 11.5462
3.5948 11.3599 4.5933 11.6222
3.6114 11.4331 4.6099 11.6955
3.6281 11.5077 4.6267 11.7701
3.6448 11.5815 4.6434 11.8438
3.6614 11.6548 4.6600 11.9172
3.6781 11.7279 4.6766 11.9903
3.6948 11.8027 4.6933 12.0650
3.7114 11.8774 4.7100 12.1397
3.7281 11.9537 4.7267 12.2160
3.7447 12.0278 4.7433 12.2901
3.7614 12.1037 4.7600 12.3661
3.7781 12.1788 4.7767 12.4412
3.7948 12.2529 4.7933 12.5153
3.8114 12.3303 4.8100 12.5927
3.8282 12.4059 4.8267 12.6683
3.8448 12.4820 4.8433 12.7444
3.8614 12.5602 4.8600 12.8225
3.8780 12.6399 4.8766 12.9023
3.8948 12.7217 4.8933 12.9840
3.9115 12.8063 4.9100 13.0687
3.9281 12.8921 4.9267 13.1545
3.9448 12.9792 4.9433 13.2416
3.9615 13.0655 4.9600 13.3279
3.9781 13.1511 4.9767 13.4135
3.9947 13.2397 4.9933 13.5021
4.0114 13.3281 5.0100 13.5905
4.0281 13.4167 5.0266 13.6791
4.0448 13.5063 5.0433 13.7687
4.0614 13.5937 5.0600 13.8560
4.0781 13.6829 5.0766 13.9452
4.0948 13.7728 5.0933 14.0351
4.1114 13.8634 5.1100 14.1257
4.1281 13.9542 5.1266 14.2166
4.1448 14.0454 5.1433 14.3078
4.1614 14.1366 5.1600 14.3989
4.1781 14.2302 5.1767 14.4926
4.1948 14.3238 5.1934 14.5862
4.2115 14.4203 5.2100 14.6826
4.2281 14.5176 5.2267 14.7800
4.2448 14.6124 5.2433 14.8748
4.2614 14.7116 5.2600 14.9740
4.2781 14.8109 5.2766 15.0733
4.2948 14.9095 5.2933 15.1719
4.3114 15.0118 5.3100 15.2742
4.3281 15.1130 5.3267 15.3754
4.3448 15.2168 5.3434 15.4791
4.3614 15.3223 5.3600 15.5846
4.3781 15.4280 5.3767 15.6904
4.3947 15.5350 5.3933 15.7974
4.4114 15.6447 5.4100 15.9071
4.4281 15.7529 5.4266 16.0153
4.4448 15.8641 5.4434 16.1265
4.4615 15.9723 5.4600 16.2347
4.4781 16.0833 5.4767 16.3457
4.4948 16.1944 5.4933 16.4567
4.5114 16.3044 5.5100 16.5667
4.5281 16.4156 5.5266 16.6780
4.5448 16.5281 5.5433 16.7905
4.5614 16.6417 5.5600 16.9040
4.5781 16.7545 5.5766 17.0168
4.5948 16.8678 5.5934 17.1302
4.6114 16.9806 5.6100 17.2429
4.6281 17.0940 5.6266 17.3564
4.6448 17.2079 5.6433 17.4703
4.6614 17.3214 5.6600 17.5837
4.6781 17.4395 5.6767 17.7018
4.6948 17.5565 5.6933 17.8189
4.7114 17.6787 5.7100 17.9411
4.7281 17.7993 5.7267 18.0616
4.7448 17.9179 5.7434 18.1803
4.7614 18.0386 5.7600 18.3009
4.7781 18.1601 5.7766 18.4225
4.7947 18.2830 5.7933 18.5454
4.8114 18.4126 5.8100 18.6750
4.8281 18.5393 5.8266 18.8017
4.8448 18.6684 5.8434 18.9308
4.8614 18.8003 5.8600 19.0627
4.8781 18.9360 5.8767 19.1984
4.8947 19.0730 5.8933 19.3354
4.9114 19.2138 5.9100 19.4761
4.9280 19.3588 5.9266 19.6212
4.9448 19.5083 5.9433 19.7707
4.9614 19.6574 5.9600 19.9198
4.9781 19.8078 5.9767 20.0701
4.9948 19.9593 5.9933 20.2217
5.0115 20.1090 6.0100 20.3714
5.0280 20.2603 6.0266 20.5226
5.0448 20.4149 6.0433 20.6772
5.0614 20.5694 6.0600 20.8318
5.0780 20.7252 6.0766 20.9875
5.0947 20.8835 6.0933 21.1459
5.1115 21.0443 6.1100 21.3067
5.1281 21.2045 6.1267 21.4669
5.1448 21.3627 6.1434 21.6250
5.1614 21.5204 6.1600 21.7828
5.1780 21.6830 6.1766 21.9453
5.1947 21.8433 6.1933 22.1057
5.2114 22.0057 6.2100 22.2681
5.2281 22.1712 6.2266 22.4335
5.2448 22.3349 6.2434 22.5973
5.2614 22.5019 6.2600 22.7643
5.2781 22.6708 6.2767 22.9331
5.2947 22.8364 6.2933 23.0988
5.3114 23.0062 6.3100 23.2685
5.3281 23.1749 6.3267 23.4373
5.3448 23.3446 6.3433 23.6070
5.3613 23.5165 6.3599 23.7789
5.3781 23.6880 6.3767 23.9504
5.3948 23.8602 6.3933 24.1226
5.4115 24.0338 6.4100 24.2962
5.4280 24.2009 6.4266 24.4632
5.4448 24.3736 6.4433 24.6359
5.4614 24.5454 6.4600 24.8077
5.4780 24.7184 6.4766 24.9808
5.4798 24.7377 6.4784 25.0001
5.4799 24.7381 6.4784 25.0004
5.4640 24.5897 6.4626 24.8520
5.4506 24.3391 6.4492 24.6015
5.4388 24.0888 6.4373 24.3512
5.4263 23.8386 6.4248 24.1010
5.4132 23.5880 6.4117 23.8504
5.4000 23.3377 6.3986 23.6000
5.3864 23.0874 6.3850 23.3498
5.3725 22.8372 6.3711 23.0996
5.3584 22.5872 6.3570 22.8496
5.3440 22.3369 6.3426 22.5993
5.3292 22.0867 6.3278 22.3490
5.3142 21.8363 6.3127 22.0987
5.2990 21.5862 6.2976 21.8485
5.2835 21.3358 6.2821 21.5982
5.2678 21.0856 6.2664 21.3480
5.2521 20.8356 6.2506 21.0980
5.2358 20.5853 6.2344 20.8477
5.2194 20.3349 6.2179 20.5973
5.2027 20.0868 6.2012 20.3491
5.1860 19.8473 6.1846 20.1097
5.1694 19.6095 6.1680 19.8719
5.1528 19.3773 6.1513 19.6397
5.1360 19.1457 6.1346 19.4080
5.1193 18.9155 6.1179 19.1779
5.1027 18.6858 6.1012 18.9482
5.0860 18.4575 6.0846 18.7199
5.0694 18.2337 6.0679 18.4961
5.0527 18.0195 6.0513 18.2819
5.0361 17.8075 6.0346 18.0699
5.0194 17.5991 6.0179 17.8615
5.0027 17.3958 6.0013 17.6582
4.9860 17.1948 5.9846 17.4571
4.9694 16.9995 5.9680 17.2619
4.9527 16.8093 5.9513 17.0716
4.9360 16.6227 5.9346 16.8851
4.9194 16.4396 5.9179 16.7019
4.9027 16.2581 5.9012 16.5204
4.8860 16.0815 5.8846 16.3438
4.8694 15.9117 5.8680 16.1741
4.8527 15.7449 5.8512 16.0073
4.8360 15.5838 5.8346 15.8462
4.8194 15.4284 5.8179 15.6908
4.8027 15.2744 5.8013 15.5367
4.7861 15.1225 5.7846 15.3849
4.7694 14.9747 5.7680 15.2371
4.7527 14.8283 5.7513 15.0906
4.7361 14.6875 5.7346 14.9499
4.7194 14.5438 5.7179 14.8061
4.7027 14.4030 5.7013 14.6654
4.6860 14.2643 5.6846 14.5266
4.6694 14.1264 5.6680 14.3887
4.6527 13.9907 5.6512 14.2531
4.6361 13.8584 5.6346 14.1208
4.6194 13.7246 5.6180 13.9870
4.6028 13.5945 5.6013 13.8569
4.5860 13.4627 5.5846 13.7251
4.5694 13.3324 5.5679 13.5948
4.5527 13.2066 5.5512 13.4690
4.5361 13.0839 5.5346 13.3462
4.5194 12.9621 5.5179 13.2245
4.5027 12.8434 5.5013 13.1058
4.4860 12.7226 5.4846 12.9849
4.4694 12.6053 5.4680 12.8677
4.4527 12.4878 5.4512 12.7501
4.4360 12.3708 5.4346 12.6331
4.4194 12.2574 5.4179 12.5198
4.4027 12.1449 5.4013 12.4073
4.3860 12.0343 5.3846 12.2967
4.3694 11.9301 5.3679 12.1925
4.3527 11.8265 5.3512 12.0889
4.3361 11.7245 5.3346 11.9868
4.3194 11.6246 5.3179 11.8870
4.3027 11.5240 5.3012 11.7864
4.2860 11.4257 5.2846 11.6881
4.2694 11.3273 5.2680 11.5897
4.2527 11.2292 5.2513 11.4915
4.2361 11.1342 5.2346 11.3966
4.2194 11.0379 5.2179 11.3003
4.2027 10.9443 5.2012 11.2066
4.1860 10.8518 5.1846 11.1142
4.1694 10.7598 5.1679 11.0222
4.1527 10.6700 5.1512 10.9324
4.1360 10.5791 5.1346 10.8415
4.1194 10.4874 5.1179 10.7497
4.1027 10.3984 5.1012 10.6607
4.0860 10.3086 5.0846 10.5709
