"Test Type","Compression"
"Temperature:","20.5"
"Humidity:","57.5"
"Geometry:","Rectangular"
"Specimen",1
"Specimen name:","F1"
"Width:",330.000000,"mm"
"Thickness:",897.000000,"mm"
"Anvil height:",90.000000,"mm"
"Diameter:",50.000000,"mm"
"Inner diameter:",0.500000,"mm"
"Outer diameter:",1.000000,"mm"
"Wall thickness:",0.500000,"mm"
"Area:",296010.000000,"mm*mm"
"Linear density:",1.000000,"den"
"Sled weight:",9.806650,"N"
"Loading span:",0.000000,"mm"
"Support span:",1.000000,"mm"
"Span ratio:","2"
"Fixture type:","3-point"
"Extensometer",-10.000000,"**mm"
"Included"
"Time sec","Extension mm","Strain 1 %","Load N","Comp. stress MPa","Cycle Count ","Total Cycle Count ","Comp. extension mm","Comp. strain %","True strain %","Comp. load N","True stress Pa"
91.062,-1.51764,-0.0258797,-27446.95,0.09272304,0,0,0.00258797,0.0258797,0.02588305,27446.95,92699.04
91.496,-1.52488,-0.02579994,-27697.51,0.09356949,0,0,0.002579994,0.02579994,0.02580327,27697.51,93545.36
91.934,-1.53216,-0.02599139,-27947.79,0.09441502,0,0,0.002599139,0.02599139,0.02599477,27947.79,94390.48
92.378,-1.5396,-0.02589568,-28198.6,0.09526233,0,0,0.002589568,0.02589568,0.02589904,28198.6,95237.66
92.818,-1.54692,-0.0261509,-28449.7,0.09611061,0,0,0.002615091,0.0261509,0.02615433,28449.7,96085.48
93.246,-1.55404,-0.02594352,-28700.49,0.09695783,0,0,0.002594352,0.02594352,0.02594688,28700.49,96932.67
93.676,-1.56116,-0.025784,-28951.03,0.09780423,0,0,0.0025784,0.025784,0.02578733,28951.03,97779
94.092,-1.56816,-0.02599139,-29201.47,0.09865028,0,0,0.002599139,0.02599139,0.02599477,29201.47,98624.64
94.516,-1.57528,-0.02629444,-29452.15,0.09949716,0,0,0.002629444,0.02629444,0.0262979,29452.15,99471
94.94,-1.58236,-0.02613492,-29703.18,0.1003452,0,0,0.002613492,0.02613492,0.02613834,29703.18,100319
95.364,-1.58936,-0.02597541,-29953.79,0.1011918,0,0,0.002597541,0.02597541,0.02597878,29953.79,101165.5
95.796,-1.59656,-0.02592757,-30204.65,0.1020393,0,0,0.002592757,0.02592757,0.02593094,30204.65,102012.8
96.238,-1.60392,-0.02613492,-30455.53,0.1028868,0,0,0.002613492,0.02613492,0.02613834,30455.53,102859.9
96.682,-1.6114,-0.0263742,-30706.11,0.1037334,0,0,0.00263742,0.0263742,0.02637768,30706.11,103706
97.124,-1.61876,-0.02626255,-30956.59,0.1045795,0,0,0.002626255,0.02626255,0.026266,30956.59,104552.1
97.554,-1.62584,-0.02599139,-31207.2,0.1054262,0,0,0.002599139,0.02599139,0.02599477,31207.2,105398.8
97.966,-1.63272,-0.02611898,-31457.51,0.1062718,0,0,0.002611898,0.02611898,0.02612239,31457.51,106244
98.376,-1.63956,-0.02576806,-31708.19,0.1071187,0,0,0.002576806,0.02576806,0.02577138,31708.19,107091.1
98.782,-1.64632,-0.02629444,-31958.53,0.1079643,0,0,0.002629444,0.02629444,0.0262979,31958.53,107936
99.19,-1.65312,-0.02592757,-32209.23,0.1088113,0,0,0.002592757,0.02592757,0.02593094,32209.23,108783.1
99.602,-1.66,-0.0256883,-32459.86,0.109658,0,0,0.00256883,0.0256883,0.0256916,32459.86,109629.8
100.028,-1.66704,-0.02597541,-32710.13,0.1105035,0,0,0.002597541,0.02597541,0.02597878,32710.13,110474.8
100.438,-1.67392,-0.02624661,-32960.85,0.1113505,0,0,0.002624661,0.02624661,0.02625005,32960.85,111321.2
100.86,-1.68092,-0.02586376,-33211.02,0.1121956,0,0,0.002586376,0.02586376,0.0258671,33211.02,112166.6
101.278,-1.68788,-0.02581593,-33461.99,0.1130434,0,0,0.002581593,0.02581593,0.02581926,33461.99,113014.3
101.682,-1.6946,-0.02549689,-33712.85,0.1138909,0,0,0.002549689,0.02549689,0.02550014,33712.85,113861.9
102.072,-1.70116,-0.02594352,-33963.32,0.1147371,0,0,0.002594352,0.02594352,0.02594688,33963.32,114707.3
102.472,-1.70788,-0.02603922,-34214.18,0.1155845,0,0,0.002603922,0.02603922,0.02604261,34214.18,115554.4
102.88,-1.71468,-0.02584781,-34464.51,0.1164302,0,0,0.002584781,0.02584781,0.02585116,34464.51,116400.1
103.35,-1.72248,-0.02605516,-34715.45,0.1172779,0,0,0.002605516,0.02605516,0.02605856,34715.45,117247.4
103.844,-1.73068,-0.02611898,-34966.12,0.1181248,0,0,0.002611898,0.02611898,0.02612239,34966.12,118093.9
104.336,-1.73892,-0.025784,-35216.57,0.1189709,0,0,0.0025784,0.025784,0.02578733,35216.57,118940.2
104.872,-1.74788,-0.02610303,-35466.92,0.1198166,0,0,0.002610303,0.02610303,0.02610644,35466.92,119785.4
105.378,-1.75628,-0.02607115,-35716.99,0.1206614,0,0,0.002607115,0.02607115,0.02607454,35716.99,120630
105.872,-1.76448,-0.02602328,-35967.64,0.1215082,0,0,0.002602328,0.02602328,0.02602666,35967.64,121476.6
106.378,-1.77292,-0.02611898,-36217.81,0.1223533,0,0,0.002611898,0.02611898,0.02612239,36217.81,122321.4
106.88,-1.78128,-0.02610303,-36468.43,0.1232,0,0,0.002610303,0.02610303,0.02610644,36468.43,123167.8
107.348,-1.78908,-0.02616685,-36718.48,0.1240447,0,0,0.002616685,0.02616685,0.02617027,36718.48,124012.3
107.816,-1.79684,-0.02583187,-36969.01,0.1248911,0,0,0.002583187,0.02583187,0.02583521,36969.01,124858.8
108.268,-1.8044,-0.02603922,-37219.46,0.1257372,0,0,0.002603922,0.02603922,0.02604261,37219.46,125704.4
108.726,-1.81204,-0.02594352,-37470.3,0.1265846,0,0,0.002594352,0.02594352,0.02594688,37470.3,126551.7
109.198,-1.81988,-0.0258797,-37720.62,0.1274302,0,0,0.00258797,0.0258797,0.02588305,37720.62,127397.2
109.674,-1.8278,-0.02595946,-37971.08,0.1282763,0,0,0.002595946,0.02595946,0.02596283,37971.08,128243
110.116,-1.8352,-0.02594352,-38221.65,0.1291228,0,0,0.002594352,0.02594352,0.02594688,38221.64,129089.3
110.536,-1.84228,-0.02573617,-38471.75,0.1299677,0,0,0.002573617,0.02573617,0.02573948,38471.75,129934.3
110.96,-1.84936,-0.02586376,-38722.68,0.1308154,0,0,0.002586376,0.02586376,0.0258671,38722.68,130781.6
111.384,-1.8564,-0.02603922,-38973.81,0.1316638,0,0,0.002603922,0.02603922,0.02604261,38973.8,131629.5
111.8,-1.86328,-0.02608709,-39224.8,0.1325117,0,0,0.002608709,0.02608709,0.02609049,39224.8,132477.2
112.21,-1.87012,-0.02592757,-39475.89,0.13336,0,0,0.002592757,0.02592757,0.02593094,39475.89,133325.4
112.622,-1.877,-0.02595946,-39726.53,0.1342067,0,0,0.002595946,0.02595946,0.02596283,39726.53,134171.9
113.038,-1.88396,-0.0258797,-39977.51,0.1350546,0,0,0.00258797,0.0258797,0.02588305,39977.5,135019.6
113.456,-1.89092,-0.02608709,-40228.26,0.1359017,0,0,0.002608709,0.02608709,0.02609049,40228.26,135866.2
113.876,-1.89788,-0.02597541,-40479.05,0.1367489,0,0,0.002597541,0.02597541,0.02597878,40479.05,136713.4
114.306,-1.90504,-0.02623063,-40730.02,0.1375968,0,0,0.002623063,0.02623063,0.02623407,40730.02,137560.7
114.732,-1.91216,-0.02594352,-40981.13,0.1384451,0,0,0.002594352,0.02594352,0.02594688,40981.13,138409.2
115.164,-1.91932,-0.02608709,-41232.12,0.139293,0,0,0.002608709,0.02608709,0.02609049,41232.12,139256.7
115.578,-1.92624,-0.02560854,-41482.83,0.14014,0,0,0.002560854,0.02560854,0.02561182,41482.83,140104.1
115.992,-1.93312,-0.02603922,-41732.97,0.140985,0,0,0.002603922,0.02603922,0.02604261,41732.97,140948.3
116.434,-1.94052,-0.02594352,-41983.7,0.141832,0,0,0.002594352,0.02594352,0.02594688,41983.7,141795.2
116.922,-1.94864,-0.0264699,-42233.8,0.1426769,0,0,0.00264699,0.0264699,0.0264734,42233.8,142639.2
117.446,-1.95732,-0.02595946,-42484.41,0.1435236,0,0,0.002595946,0.02595946,0.02596283,42484.41,143486.3
118.438,-1.97396,-0.02607115,-42232.91,0.1426739,0,0,0.002607115,0.02607115,0.02607454,42232.91,142636.7
