"Disp (mm)" "Load (kN)"  "d (raw)" " f (raw)"
3.1662 45.9265  3.63 46.23
3.1722 46.1770  3.64 46.48
3.1783 46.4279  3.65 46.73
3.1845 46.6783  3.65 46.98
3.1907 46.9292  3.66 47.23
3.1968 47.1794  3.67 47.48
3.2029 47.4307  3.67 47.73
3.2091 47.6809  3.68 47.98
3.2152 47.9313  3.68 48.23
3.2217 48.1818  3.69 48.48
3.2283 48.4323  3.7 48.73
3.2349 48.6825  3.7 48.98
3.2414 48.9329  3.71 49.23
3.2480 49.1831  3.72 49.48
3.2544 49.4344  3.72 49.74
3.2605 49.6852  3.73 49.99
3.2668 49.9363  3.74 50.24
3.2732 50.1874  3.74 50.49
3.2794 50.4381  3.75 50.74
3.2857 50.6889  3.75 50.99
3.2920 50.9391  3.76 51.24
3.2984 51.1902  3.77 51.49
3.3047 51.4404  3.77 51.74
3.3111 51.6906  3.78 51.99
3.3176 51.9418  3.79 52.24
3.3242 52.1920  3.79 52.49
3.3245 52.2049  3.79 52.51
    
    
"Disp (mm)" "Load (kN)"   
0 0  1.56 0.81
0.0164 0.0452  1.57 0.86
0.0333 0.1077  1.59 0.92
0.0500 0.1688  1.61 0.98
0.0666 0.2287  1.62 1.04
0.0833 0.2896  1.64 1.1
0.1000 0.3526  1.66 1.16
0.1166 0.4138  1.67 1.22
0.1333 0.4767  1.69 1.29
0.1500 0.5391  1.71 1.35
0.1667 0.6009  1.72 1.41
0.1833 0.6646  1.74 1.48
0.2000 0.7279  1.76 1.54
0.2166 0.7927  1.77 1.6
0.2333 0.8573  1.79 1.67
0.2499 0.9220  1.81 1.73
0.2666 0.9887  1.82 1.8
0.2833 1.0577  1.84 1.87
0.3000 1.1293  1.86 1.94
0.3167 1.2027  1.87 2.01
0.3334 1.2778  1.89 2.09
0.3500 1.3583  1.91 2.17
0.3666 1.4432  1.92 2.25
0.3833 1.5316  1.94 2.34
0.4000 1.6244  1.96 2.44
0.4167 1.7203  1.97 2.53
0.4334 1.8177  1.99 2.63
0.4500 1.9155  2.01 2.73
0.4667 2.0136  2.02 2.82
0.4833 2.1138  2.04 2.92
0.5000 2.2183  2.06 3.03
0.5166 2.3269  2.07 3.14
0.5333 2.4387  2.09 3.25
0.5500 2.5522  2.11 3.36
0.5666 2.6672  2.12 3.48
0.5833 2.7840  2.14 3.6
0.6000 2.9034  2.16 3.71
0.6166 3.0233  2.17 3.83
0.6333 3.1448  2.19 3.96
0.6500 3.2654  2.21 4.08
0.6666 3.3889  2.22 4.2
0.6833 3.5182  2.24 4.33
0.7000 3.6488  2.26 4.46
0.7166 3.7809  2.27 4.59
0.7334 3.9142  2.29 4.73
0.7500 4.0477  2.31 4.86
0.7666 4.1827  2.32 4.99
0.7833 4.3187  2.34 5.13
0.8000 4.4597  2.36 5.27
0.8166 4.6033  2.37 5.41
0.8334 4.7478  2.39 5.56
0.8499 4.8934  2.41 5.7
0.8666 5.0414  2.42 5.85
0.8833 5.1898  2.44 6
0.9000 5.3392  2.46 6.15
0.9166 5.4901  2.47 6.3
0.9333 5.6414  2.49 6.45
0.9499 5.7940  2.51 6.61
0.9667 5.9477  2.52 6.76
0.9833 6.1022  2.54 6.91
1.0000 6.2587  2.56 7.07
1.0166 6.4149  2.57 7.23
1.0333 6.5744  2.59 7.39
1.0499 6.7343  2.61 7.55
1.0666 6.8960  2.62 7.71
1.0833 7.0609  2.64 7.87
1.1000 7.2329  2.66 8.04
1.1167 7.4130  2.67 8.22
1.1333 7.6004  2.69 8.41
1.1500 7.7891  2.71 8.6
1.1666 7.9832  2.72 8.79
1.1833 8.1841  2.74 9
1.2000 8.3903  2.76 9.2
1.2166 8.6060  2.77 9.42
1.2334 8.8268  2.79 9.64
1.2500 9.0482  2.81 9.86
1.2667 9.2762  2.82 10.09
1.2833 9.5036  2.84 10.31
1.3000 9.7392  2.86 10.55
1.3166 9.9803  2.87 10.79
1.3333 10.2250  2.89 11.04
1.3498 10.4751  2.91 11.29
1.3659 10.7256  2.92 11.54
1.3817 10.9758  2.94 11.79
1.3972 11.2262  2.95 12.04
1.4126 11.4765  2.97 12.29
1.4279 11.7266  2.98 12.54
1.4429 11.9768  3 12.79
1.4577 12.2269  3.01 13.04
1.4724 12.4771  3.03 13.29
1.4866 12.7272  3.04 13.54
1.5000 12.9776  3.06 13.79
1.5122 13.2281  3.07 14.04
1.5236 13.4786  3.08 14.29
1.5343 13.7292  3.09 14.54
1.5446 13.9795  3.1 14.79
1.5550 14.2299  3.11 15.04
1.5651 14.4805  3.12 15.29
1.5749 14.7305  3.13 15.54
1.5846 14.9812  3.14 15.79
1.5942 15.2313  3.15 16.04
1.6036 15.4815  3.16 16.29
1.6129 15.7317  3.17 16.54
1.6220 15.9821  3.18 16.79
1.6310 16.2325  3.19 17.04
1.6398 16.4830  3.2 17.29
1.6485 16.7339  3.2 17.54
1.6569 16.9843  3.21 17.8
1.6651 17.2348  3.22 18.05
