   
   
   
"Disp (mm)" "Load (kN)" " d (raw)" "f (raw)"
-0.1493 -0.2032 -0.1493 0.1081
-0.1319 -0.1805 -0.1319 0.1308
-0.1152 -0.1569 -0.1152 0.1544
-0.0985 -0.1346 -0.0985 0.1767
-0.0818 -0.1133 -0.0818 0.1980
-0.0651 -0.0913 -0.0651 0.2200
-0.0485 -0.0705 -0.0485 0.2408
-0.0318 -0.0506 -0.0318 0.2607
-0.0152 -0.0308 -0.0152 0.2805
0.0015 -0.0118 0.0015 0.2995
0.0182 -0.0034 0.0182 0.3079
0.0349 -0.0006 0.0349 0.3107
0.0515 -0.0003 0.0515 0.3110
0.0682 -0.0003 0.0682 0.3111
0.0849 -0.0004 0.0849 0.3109
0.1015 -0.0004 0.1015 0.3110
0.1181 0.0003 0.1181 0.3116
0.1348 0.0004 0.1348 0.3118
0.1515 0.0010 0.1515 0.3123
0.1682 0.0011 0.1682 0.3124
0.1849 0.0015 0.1849 0.3129
0.2016 0.0011 0.2016 0.3124
0.2182 0.0008 0.2182 0.3121
0.2348 0.0017 0.2348 0.3130
0.2515 0.0018 0.2515 0.3131
0.2682 0.0015 0.2682 0.3128
0.2848 0.0015 0.2848 0.3128
0.3016 0.0019 0.3016 0.3133
0.3182 0.0133 0.3182 0.3246
0.3349 0.0340 0.3349 0.3453
0.3515 0.0541 0.3515 0.3655
0.3682 0.0742 0.3682 0.3856
0.3848 0.0931 0.3848 0.4044
0.4015 0.1120 0.4015 0.4233
0.4182 0.1323 0.4182 0.4436
0.4349 0.1519 0.4349 0.4632
0.4515 0.1699 0.4515 0.4812
0.4682 0.1914 0.4682 0.5028
0.4849 0.2106 0.4849 0.5220
0.5016 0.2299 0.5016 0.5412
0.5182 0.2511 0.5182 0.5624
0.5349 0.2711 0.5349 0.5824
0.5515 0.2928 0.5515 0.6041
0.5682 0.3135 0.5682 0.6248
0.5848 0.3367 0.5848 0.6480
0.6016 0.3623 0.6016 0.6736
0.6182 0.3880 0.6182 0.6993
0.6348 0.4155 0.6348 0.7268
0.6515 0.4436 0.6515 0.7549
0.6682 0.4743 0.6682 0.7857
0.6848 0.5054 0.6848 0.8167
0.7016 0.5363 0.7016 0.8476
0.7182 0.5683 0.7182 0.8796
0.7349 0.6012 0.7349 0.9125
0.7515 0.6333 0.7515 0.9447
0.7682 0.6666 0.7682 0.9779
0.7848 0.6998 0.7848 1.0111
0.8015 0.7333 0.8015 1.0447
0.8182 0.7668 0.8182 1.0781
0.8349 0.8022 0.8349 1.1135
0.8516 0.8362 0.8516 1.1475
0.8682 0.8712 0.8682 1.1825
0.8849 0.9058 0.8849 1.2171
0.9016 0.9414 0.9016 1.2527
0.9181 0.9765 0.9181 1.2878
0.9348 1.0127 0.9348 1.3240
0.9515 1.0485 0.9515 1.3598
0.9682 1.0844 0.9682 1.3957
0.9849 1.1202 0.9849 1.4315
1.0015 1.1566 1.0015 1.4680
1.0182 1.1937 1.0182 1.5051
1.0349 1.2315 1.0349 1.5428
1.0515 1.2688 1.0515 1.5801
1.0682 1.3074 1.0682 1.6187
1.0848 1.3456 1.0848 1.6569
1.1015 1.3867 1.1015 1.6980
1.1182 1.4262 1.1182 1.7375
1.1349 1.4675 1.1349 1.7788
1.1516 1.5087 1.1516 1.8200
1.1682 1.5481 1.1682 1.8594
1.1848 1.5902 1.1848 1.9015
1.2015 1.6304 1.2015 1.9417
1.2182 1.6734 1.2182 1.9847
1.2349 1.7154 1.2349 2.0267
1.2516 1.7569 1.2516 2.0683
1.2682 1.7981 1.2682 2.1094
1.2849 1.8407 1.2849 2.1520
1.3016 1.8820 1.3016 2.1933
1.3182 1.9237 1.3182 2.2350
1.3348 1.9657 1.3348 2.2770
1.3515 2.0074 1.3515 2.3187
1.3682 2.0499 1.3682 2.3612
1.3849 2.0926 1.3849 2.4039
1.4015 2.1362 1.4015 2.4475
1.4182 2.1795 1.4182 2.4908
1.4348 2.2227 1.4348 2.5340
1.4515 2.2667 1.4515 2.5781
1.4682 2.3107 1.4682 2.6220
1.4848 2.3529 1.4848 2.6642
1.5015 2.3971 1.5015 2.7084
1.5182 2.4410 1.5182 2.7523
1.5349 2.4845 1.5349 2.7959
1.5516 2.5307 1.5516 2.8420
1.5682 2.5746 1.5682 2.8859
1.5848 2.6207 1.5848 2.9321
1.6015 2.6663 1.6015 2.9776
1.6182 2.7113 1.6182 3.0226
1.6348 2.7571 1.6348 3.0684
1.6516 2.8036 1.6516 3.1149
1.6682 2.8489 1.6682 3.1602
